title,region,startYear,runtimeMinutes,genres,averageRating,numVotes,tconst,nconst,category,pname,byear,kftitles,Thriller,History,Comedy,Romance,Western,Sci-Fi,News,Family,Drama,Musical,Biography,Adventure,Horror,War,Animation,Action,Sport,Music,Documentary,Crime,Mystery,Fantasy,region_num,nconst_num,category_num
Παγκόσμιος Πόλεμος: Ώρα Μηδέν,GR,2016.0,116.0,Documentary,7.7,9691,tt5446858,nm0316795,director,Alex Gibney,1953,"tt2111478,tt4257858,tt1016268,tt0854678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6140,1
Kammatti Paadam,US,2016.0,177.0,"Action,Drama",8.0,4596,tt5458088,nm8223790,actor,Anil Nedumangad,1972,"tt13671930,tt11322920,tt3845746,tt7548570",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,7197,2
Kaabil: The Mind Sees All,AU,2017.0,139.0,"Action,Crime,Drama",7.2,26431,tt5460276,nm13260258,actor,Abhinay Raj Singh,1999,"tt10324144,tt5460276,tt2372222,tt2112124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,23,6745,2
Attaque à Mumbai,FR,2018.0,123.0,"Action,Drama,History",7.6,61336,tt5461944,nm2258164,actress,Nazanin Boniadi,1980,"tt0460649,tt1796960,tt4643084,tt5461944",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8910,0
Mom and Dad,FR,2017.0,86.0,"Comedy,Horror,Thriller",5.5,23420,tt5462326,nm3453476,actress,Anne Winters,1994,"tt1837492,tt5462326,tt7487358,tt6781982",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9667,0
The Big Sick,FR,2017.0,120.0,"Comedy,Drama,Romance",7.5,132360,tt5462602,nm0000456,actress,Holly Hunter,1958,"tt0107822,tt0092699,tt0328538,tt3606756",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0
Deadpool 2,FR,2018.0,119.0,"Action,Adventure,Comedy",7.7,549415,tt5463162,nm5421877,actor,Julian Dennison,2002,"tt5463162,tt2551456,tt4698684,tt5034838",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7139,2
Digimon Adventure Tri. Part 3: Confession,US,2016.0,91.0,"Action,Adventure,Animation",7.6,1057,tt5468014,nm0097765,actor,Johnny Yong Bosch,1976,"tt0434665,tt13370002,tt0113820,tt0094625",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,2651,2
Black Butler: Book of the Atlantic,FR,2017.0,101.0,"Animation,Fantasy",7.6,1214,tt5476944,nm5211370,actor,Justin Briner,1991,"tt3029556,tt6279576,tt5341430,tt5626028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9673,2
Iraivi,GB,2016.0,160.0,"Crime,Drama",8.0,3308,tt5477194,nm4043111,actor,Vijay Sethupathi,1978,"tt10579952,tt6148156,tt7019842,tt7019942",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6838,2
