|tconst|nconst|name|french_title|byear|job|startyear|runtimeminutes|averagerating|numvotes|wr_score|genres|original_lang
1014529|tt0199725|nm0004898|Omar Epps|Love & Basketball|1973.0|actor,music_department,producer|2000.0|124.0|7.2|21031|7.196856344446281|Drama,Romance,Sport|en
1017057|tt1397514|nm0425005|Dwayne Johnson|Voyage au centre de la Terre 2 : L'Île mystérieuse|1972.0|actor,producer,soundtrack|2012.0|94.0|5.7|102350|5.700275235856286|Action,Adventure,Comedy|en
1017095|tt1397514|nm1227814|Vanessa Hudgens|Voyage au centre de la Terre 2 : L'Île mystérieuse|1988.0|actress,soundtrack,producer|2012.0|94.0|5.7|102350|5.700275235856286|Action,Adventure,Comedy|en
1018509|tt3892172|nm0004936|Ben Foster|Leave No Trace|1980.0|actor,director,writer|2018.0|109.0|7.2|57595|7.198849903391548|Adventure,Drama|en
1019889|tt0337563|nm0004950|Jennifer Garner|30 ans sinon rien|1972.0|actress,producer,soundtrack|2004.0|98.0|6.2|184929|6.199982095062218|Comedy,Fantasy,Romance|en
1020137|tt4334266|nm0597388|Jason Momoa|The Bad Batch|1979.0|actor,producer,director|2016.0|118.0|5.2|30604|5.201946317857954|Action,Horror,Mystery|en
1025483|tt1981677|nm0447695|Anna Kendrick|The Hit Girls|1985.0|actress,soundtrack,producer|2012.0|112.0|7.2|298338|7.199777774637987|Comedy,Music,Romance|en
1025817|tt2294677|nm0519456|Eva Longoria|In a World...|1975.0|actress,producer,director|2013.0|93.0|6.7|31908|6.698911129766033|Comedy|en
1025903|tt0134619|nm0005017|Katie Holmes|Comportements troublants|1978.0|actress,producer,soundtrack|1998.0|84.0|5.6|22503|5.601528304960997|Horror,Mystery,Sci-Fi|en
1027373|tt1220719|nm0947447|Donnie Yen|Ip Man|1963.0|actor,stunts,producer|2008.0|106.0|8.0|220742|7.999471423789089|Action,Biography,Drama|cn
1027645|tt0780536|nm0268199|Colin Farrell|Bons baisers de Bruges|1976.0|actor,producer,soundtrack|2008.0|107.0|7.9|412071|7.899732096186555|Comedy,Crime,Drama|en
1029184|tt1401152|nm1208167|Diane Kruger|Sans identité|1976.0|actress,producer,camera_department|2011.0|113.0|6.8|259128|6.799841382338699|Mystery,Thriller|en
1029515|tt0485947|nm0243608|Pascal Duquenne|Mr. Nobody|1970.0|actor|2009.0|141.0|7.8|229206|7.799545894690298|Drama,Fantasy,Romance|en
1030349|tt0386117|nm0005069|Spike Jonze|Max et les Maximonstres|1969.0|producer,writer,director|2009.0|101.0|6.7|104186|6.699666066146917|Adventure,Drama,Family|en
1031153|tt0147800|nm0005132|Heath Ledger|10 bonnes raisons de te larguer|1979.0|actor,director,soundtrack|1999.0|97.0|7.3|327192|7.299778117155582|Comedy,Drama,Romance|en
1031154|tt0147800|nm0005466|Julia Stiles|10 bonnes raisons de te larguer|1981.0|actress,producer,director|1999.0|97.0|7.3|327192|7.299778117155582|Comedy,Drama,Romance|en
1032666|tt2101441|nm1227814|Vanessa Hudgens|Spring Breakers|1988.0|actress,soundtrack,producer|2012.0|94.0|5.3|140886|5.3003787733843435|Crime,Drama,Thriller|en
1035309|tt1045670|nm1020089|Sally Hawkins|Be Happy|1976.0|actress,writer,producer|2008.0|118.0|7.0|39318|6.9986360866852|Comedy,Drama,Romance|en
1038355|tt0245429|nm0594503|Hayao Miyazaki|Le Voyage de Chihiro|1941.0|animation_department,director,art_department|2001.0|125.0|8.6|725922|8.599787168784133|Adventure,Animation,Family|ja
1038689|tt1598822|nm0005190|Garry Marshall|Happy New Year|1934.0|writer,producer,actor|2011.0|118.0|5.6|85527|5.600402941111694|Comedy,Romance|en
1039547|tt2674426|nm3592338|Emilia Clarke|Avant toi|1986.0|actress,soundtrack|2016.0|106.0|7.4|240626|7.399672140105074|Drama,Romance|en
1041581|tt0067588|nm0796923|Don Siegel|Un Frisson Dans La Nuit|1912.0|director,producer,editorial_department|1971.0|102.0|6.9|27998|6.8983103855796255|Drama,Thriller|en
1043945|tt0441796|nm0124208|Sophia Bush|Stay Alive|1982.0|actress,director,producer|2006.0|85.0|5.0|32063|5.002250131661267|Fantasy,Horror,Mystery|en
1044492|tt1800241|nm0010736|Amy Adams|American Bluff|1974.0|actress,producer,soundtrack|2013.0|138.0|7.3|471020|7.299845860983627|Crime,Drama|en
1044503|tt1800241|nm0177896|Bradley Cooper|American Bluff|1975.0|actor,producer,soundtrack|2013.0|138.0|7.3|471020|7.299845860983627|Crime,Drama|en
1044591|tt1800241|nm2225369|Jennifer Lawrence|American Bluff|1990.0|actress,soundtrack,producer|2013.0|138.0|7.3|471020|7.299845860983627|Crime,Drama|en
1046083|tt2179136|nm0177896|Bradley Cooper|American Sniper|1975.0|actor,producer,soundtrack|2014.0|133.0|7.3|471875|7.299846140233992|Action,Biography,Drama|en
1046127|tt2179136|nm1092227|Sienna Miller|American Sniper|1981.0|actress,soundtrack|2014.0|133.0|7.3|471875|7.299846140233992|Action,Biography,Drama|en
1047225|tt1939659|nm1631269|Chloë Grace Moretz|Carrie, la vengeance|1997.0|actress,soundtrack|2013.0|100.0|5.9|138712|5.900112323759682|Drama,Horror|en
1052382|tt0465234|nm0058581|Justin Bartha|Benjamin Gates et le Livre des Secrets|1978.0|actor,producer,miscellaneous|2007.0|124.0|6.5|231966|6.49990426942214|Action,Adventure,Mystery|en
1053736|tt0455960|nm0124208|Sophia Bush|Hitcher|1982.0|actress,director,producer|2007.0|84.0|5.6|42725|5.600806014063519|Crime,Thriller|en
1054509|tt0328828|nm0005405|Seann William Scott|American Pie 3 : Marions-les !|1976.0|actor,producer,writer|2003.0|96.0|6.3|203416|6.299952760381906|Comedy|en
1056199|tt1465487|nm0244151|Romain Duris|L'Arnacœur|1974.0|actor,soundtrack|2010.0|105.0|6.7|26410|6.698684989602608|Comedy,Romance|fr
1056212|tt1465487|nm0660854|Vanessa Paradis|L'Arnacœur|1972.0|actress,soundtrack,composer|2010.0|105.0|6.7|26410|6.698684989602608|Comedy,Romance|fr
1056229|tt1465487|nm1159895|Héléna Noguerra|L'Arnacœur|1969.0|actress,soundtrack,director|2010.0|105.0|6.7|26410|6.698684989602608|Comedy,Romance|fr
1056240|tt1465487|nm1460782|François Damiens|L'Arnacœur|1973.0|actor,director,soundtrack|2010.0|105.0|6.7|26410|6.698684989602608|Comedy,Romance|fr
1057139|tt1386588|nm0578949|Eva Mendes|Very Bad Cops|1974.0|actress,soundtrack,director|2010.0|107.0|6.6|261476|6.59989098272055|Action,Comedy,Crime|en
1059023|tt4779682|nm0005458|Jason Statham|En eaux troubles|1967.0|actor,producer,stunts|2018.0|113.0|5.6|166058|5.600207606080808|Action,Horror,Sci-Fi|en
1060230|tt0368447|nm0796117|M. Night Shyamalan|Le Village|1970.0|producer,director,writer|2004.0|108.0|6.6|256769|6.5998889847439175|Drama,Mystery,Thriller|en
1060664|tt1679335|nm0221046|Zooey Deschanel|Les Trolls|1980.0|actress,music_department,producer|2016.0|92.0|6.5|79590|6.499721137053845|Adventure,Animation,Comedy|en
1060672|tt1679335|nm0447695|Anna Kendrick|Les Trolls|1985.0|actress,soundtrack,producer|2016.0|92.0|6.5|79590|6.499721137053845|Adventure,Animation,Comedy|en
1061325|tt0337697|nm0005466|Julia Stiles|Le Prince et moi|1981.0|actress,producer,director|2004.0|111.0|5.9|39097|5.900398052342949|Comedy,Family,Romance|en
1062910|tt1232200|nm1015262|Leighton Meester|Crazy Dad|1986.0|actress,soundtrack|2012.0|116.0|5.5|98203|5.500415074692669|Comedy|en
1066167|tt0386588|nm0578949|Eva Mendes|Hitch : Expert en Séduction|1974.0|actress,soundtrack,director|2005.0|118.0|6.7|312041|6.69988845939094|Comedy,Romance|en
1066543|tt0404390|nm0908094|Paul Walker|La Peur au ventre|1973.0|actor,producer,miscellaneous|2006.0|122.0|7.3|99648|7.299271772720661|Action,Crime,Drama|en
1067979|tt2737304|nm0081540|Susanne Bier|Bird Box|1960.0|director,writer,producer|2018.0|124.0|6.6|322366|6.599911570391465|Horror,Sci-Fi|en
1072598|tt4520364|nm0779524|Luke Scott|Morgane|1968.0|director,assistant_director,writer|2016.0|92.0|5.8|42387|5.800515612008242|Action,Horror,Sci-Fi|en
1075972|tt0193239|nm0347589|Sacha Guitry|Ils étaient neuf célibataires|1885.0|writer,director,actor|1939.0|125.0|7.1|227|6.893061137068477|Comedy,Romance|fr
1075995|tt0040705|nm0226189|William Dieterle|Le Portrait de Jennie|1893.0|director,actor,writer|1948.0|86.0|7.7|6815|7.6857789662328955|Drama,Fantasy,Mystery|en
1076822|tt4731136|nm0893659|Gore Verbinski|A Cure for Life|1964.0|director,producer,writer|2016.0|146.0|6.4|95116|6.399832817425587|Drama,Fantasy,Horror|en
1077428|tt0108167|nm0034079|Pierre Arditi|Smoking / No Smoking|1944.0|actor,miscellaneous,director|1993.0|298.0|7.4|1807|7.357800924999925|Comedy,Drama|fr
1077740|tt0117883|nm0024622|Alejandro Amenábar|Tesis|1972.0|writer,director,composer|1996.0|125.0|7.4|38301|7.397943064585285|Crime,Horror,Mystery|es
1077785|tt0125659|nm0024622|Alejandro Amenábar|Ouvre les yeux|1972.0|writer,director,composer|1997.0|119.0|7.7|68518|7.698573770136771|Drama,Mystery,Sci-Fi|es
1077964|tt6217926|nm0136021|Leos Carax|Annette|1960.0|director,writer,actor|2021.0|141.0|6.4|17764|6.399107406167603|Drama,Musical,Romance|en
1078244|tt1588337|nm0064741|Xavier Beauvois|Des hommes et des dieux|1967.0|actor,writer,director|2010.0|122.0|7.2|15437|7.19572178901612|Drama,History|fr
1078291|tt2076220|nm0136021|Leos Carax|Holy Motors|1960.0|director,writer,actor|2012.0|115.0|7.0|45520|6.998821660043215|Drama,Fantasy|fr
1078477|tt0054407|nm0065442|Jacques Becker|Le Trou|1906.0|writer,director,assistant_director|1960.0|131.0|8.5|17503|8.491562548659335|Crime,Drama,Thriller|fr
1078951|tt0054248|nm0320760|Annie Girardot|Rocco et ses frères|1931.0|actress,soundtrack,producer|1960.0|179.0|8.2|18639|8.19308564483744|Crime,Drama,Sport|it
1080628|tt0095765|nm0634159|Philippe Noiret|Cinéma Paradiso|1930.0|actor,soundtrack,miscellaneous|1988.0|155.0|8.5|253100|8.499414557932042|Drama,Romance|it
1082117|tt0088318|nm0851724|Bertrand Tavernier|Un dimanche à la campagne|1941.0|director,writer,producer|1984.0|90.0|7.5|2702|7.469181819077707|Drama|fr
1082374|tt0054847|nm0542649|Anthony Mann|Le Cid|1906.0|director,writer,assistant_director|1961.0|182.0|7.2|14165|7.195339311902576|Biography,Drama,History|en
1082400|tt0061113|nm0730237|Alain Robbe-Grillet|Trans-Europ-Express|1922.0|writer,director,actor|1966.0|105.0|7.0|1800|6.9711689370637995|Comedy,Drama,Mystery|fr
1082482|tt0094011|nm0681207|Maurice Pialat|Sous le soleil de Satan|1925.0|director,writer,actor|1987.0|98.0|6.7|3348|6.689794116021653|Drama,Fantasy|fr
